date,open,high,low,close,amout,vol,str07
20110518,18.8,19.2,18.11,18.67,268683552.0,14451235,65536
20110519,18.81,19.36,18.45,18.87,159893648.0,8470367,65536
20110520,18.62,18.72,17.91,18.2,94241776.0,5166195,65536
20110523,18.03,18.2,17.63,17.93,71854416.0,4028713,65536
20110524,17.93,18.7,17.79,18.4,101618680.0,5573842,65536
20110525,18.22,18.28,17.11,17.21,85594464.0,4850179,65536
20110526,17.29,17.4,16.7,16.71,42792284.0,2514207,65536
20110527,16.75,17.17,16.65,16.73,33577588.0,1988198,65536
20110530,16.7,17.08,16.4,16.45,28615354.0,1709220,65536
20110531,16.47,16.84,16.36,16.75,20418666.0,1230617,65536
20110601,16.76,17.06,16.69,17.03,30512696.0,1807036,65536
20110602,16.55,16.94,16.53,16.86,21046766.0,1257449,65536
20110603,16.88,17.25,16.85,17.05,23029828.0,1346496,65536
20110607,16.98,17.12,16.77,16.85,16485483.0,974988,65536
20110608,16.85,16.87,16.38,16.72,19916884.0,1201883,65536
20110609,16.65,16.72,16.32,16.32,18488506.0,1121282,65536
20110610,16.3,16.45,16.1,16.35,13268996.0,814022,65536
20110613,16.1,16.38,15.99,16.32,10778750.0,665680,65536
20110614,16.34,16.51,16.22,16.42,14221696.0,868067,65536
20110615,16.38,16.46,16.16,16.18,11228586.0,687736,65536
20110616,16.18,16.24,16.0,16.16,12361771.0,767231,65536
20110617,16.13,16.25,16.0,16.09,9014102.0,559231,65536
20110620,16.0,16.25,16.0,16.25,11626324.0,719581,65536
20110621,16.15,16.42,16.15,16.38,17228172.0,1054849,65536
20110622,16.38,16.43,16.11,16.24,8877805.0,545700,65536
20110623,16.14,16.66,16.1,16.61,30870196.0,1870746,65536
20110624,16.55,17.07,16.5,17.06,38798740.0,2308741,65536
20110627,17.01,17.27,16.88,17.0,33419104.0,1957254,65536
20110628,16.98,17.01,16.77,16.95,19625102.0,1161520,65536
20110630,16.8,17.07,16.74,16.92,16203023.0,956441,65536
20110701,17.03,17.22,16.9,17.0,17430504.0,1022659,65536
20110704,17.19,17.35,17.01,17.29,23776970.0,1380411,65536
20110705,17.22,17.33,17.12,17.28,21167620.0,1229971,65536
